Paired evolution matrix comparison
Baseline: v34-direct-teaching (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: version-mismatch; Formula versions differ; civilization-index deltas are observer-only and cannot demonstrate an engine improvement.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 10/10; C 9/9.33; paired Δ med/mean 0/-0.67 (3 pairs)
  births: B med/mean 4/4; C 3/3.67; paired Δ med/mean 0/-0.33 (3 pairs)
  reproductionOffers: B med/mean 13/13; C 9/9; paired Δ med/mean -3/-4 (3 pairs)
  reproductionAcceptances: B med/mean 9/9; C 7/7.67; paired Δ med/mean +1/-1.33 (3 pairs)
  reproductionAttempts: B med/mean 60/51.33; C 23/24.67; paired Δ med/mean -37/-26.67 (3 pairs)
  reproductionConceptions: B med/mean 4/4; C 3/3.67; paired Δ med/mean 0/-0.33 (3 pairs)
  deaths: B med/mean 0/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  childDeaths: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 13/13.33; C 12/11.33; paired Δ med/mean -1/-2 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 13/13.33; C 12/11.33; paired Δ med/mean -1/-2 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 2/2; C 2/2; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 2/2.67; C 2/1.67; paired Δ med/mean -1/-1 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 3/2.67; C 3/3.67; paired Δ med/mean +1/+1 (3 pairs)
  projectLifeReviewDecisions: B med/mean 3/2.67; C 3/3.67; paired Δ med/mean +1/+1 (3 pairs)
  lifeReviewPersonMonths: B med/mean 3/2.67; C 3/3.67; paired Δ med/mean +1/+1 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 3/2.67; C 3/3.67; paired Δ med/mean +1/+1 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 5/5.67; C 6/5; paired Δ med/mean +1/-0.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 3/2.67; C 3/3.67; paired Δ med/mean +1/+1 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 2/3; C 1/1.33; paired Δ med/mean +1/-1.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 3/3.33; C 6/5; paired Δ med/mean +3/+1.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 2/2.33; C 0/0; paired Δ med/mean -2/-2.33 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
